course,term,label,capacity,registered,granted,denied,utilization,status
CMPS350,4,Fall Y3,70,76,70,6,1.0,oversubscribed
CMPS303,4,Fall Y3,70,81,70,11,1.0,oversubscribed
CMPE263,4,Fall Y3,105,53,53,0,0.5048,open
CMPS380,4,Fall Y3,140,109,109,0,0.7786,open
CMPS310,4,Fall Y3,140,116,116,0,0.8286,open
CMPE355,4,Fall Y3,140,103,103,0,0.7357,open
CMPS493,4,Fall Y3,70,40,40,0,0.5714,open
CMPS499,4,Fall Y3,70,43,43,0,0.6143,open
ELEC_1,4,Fall Y3,70,62,62,0,0.8857,open
ELEC_2,4,Fall Y3,70,60,60,0,0.8571,open
ELEC_3,4,Fall Y3,70,65,65,0,0.9286,open
ELEC_4,4,Fall Y3,70,66,66,0,0.9429,open
SUPP_1,4,Fall Y3,105,100,100,0,0.9524,open
SUPP_2,4,Fall Y3,105,102,102,0,0.9714,open
MATH_1,4,Fall Y3,140,101,101,0,0.7214,open
MATH_2,4,Fall Y3,105,20,20,0,0.1905,open
MATH_3,4,Fall Y3,140,23,23,0,0.1643,open
MATH_4,4,Fall Y3,105,89,89,0,0.8476,open
MATH_5,4,Fall Y3,105,39,39,0,0.3714,open
PHYS_1,4,Fall Y3,140,26,26,0,0.1857,open
PHYS_2,4,Fall Y3,70,52,52,0,0.7429,open
CHEM_1,4,Fall Y3,105,43,43,0,0.4095,open
ENGL_1,4,Fall Y3,105,100,100,0,0.9524,open
ENGL_2,4,Fall Y3,70,78,70,8,1.0,oversubscribed
GED_1,4,Fall Y3,70,31,31,0,0.4429,open
GED_2,4,Fall Y3,70,37,37,0,0.5286,open
GED_3,4,Fall Y3,70,56,56,0,0.8,open
GED_4,4,Fall Y3,70,61,61,0,0.8714,open
GED_5,4,Fall Y3,70,59,59,0,0.8429,open
GED_6,4,Fall Y3,70,50,50,0,0.7143,open
GED_7,4,Fall Y3,70,39,39,0,0.5571,open
CMPS151,5,Spring Y3,105,35,35,0,0.3333,open
CMPS200,5,Spring Y3,105,8,8,0,0.0762,open
CMPS205,5,Spring Y3,140,26,26,0,0.1857,open
CMPS251,5,Spring Y3,105,86,86,0,0.819,open
CMPS350,5,Spring Y3,70,49,49,0,0.7,open
CMPS303,5,Spring Y3,70,57,57,0,0.8143,open
